state,state_code,district,indicator_no,indicator,nfhs5_value,nfhs4_value,change_nfhs4_to_nfhs5
Andaman and Nicobar Island,AN,Nicobar,94,94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),35.4,,
Andaman and Nicobar Island,AN,Nicobar,95,95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),32.9,,
Andaman and Nicobar Island,AN,Nicobar,96,96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),11.1,,
Andaman and Nicobar Island,AN,Nicobar,97,97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),47.0,,
Andaman and Nicobar Island,AN,Nicobar,98,98. Ever undergone a screening test for cervical cancer (%),13.4,,
Andaman and Nicobar Island,AN,Nicobar,99,99. Ever undergone a breast examination for breast cancer (%),13.2,,
Andaman and Nicobar Island,AN,Nicobar,100,100. Ever undergone an oral cavity examination for oral cancer (%),5.4,,
Andaman and Nicobar Island,AN,Nicobar,101,101. Women age 15 years and above who use any kind of tobacco (%),63.5,,
Andaman and Nicobar Island,AN,Nicobar,102,102. Men age 15 years and above who use any kind of tobacco (%),76.8,,
Andaman and Nicobar Island,AN,Nicobar,103,103. Women age 15 years and above who consume alcohol (%),29.6,,
Andaman and Nicobar Island,AN,Nicobar,104,104. Men age 15 years and above who consume alcohol (%),64.5,,
Andaman and Nicobar Island,AN,North & Middle Andaman,1,1. Female population age 6 years and above who ever attended school (%),82.7,83.8,-1.1
Andaman and Nicobar Island,AN,North & Middle Andaman,2,2. Population below age 15 years (%),19.8,22.6,-2.8
Andaman and Nicobar Island,AN,North & Middle Andaman,3,"3. Sex ratio of the total population (females per 1,000 males)",950.0,951.0,-1.0
Andaman and Nicobar Island,AN,North & Middle Andaman,4,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",844.0,975.0,-131.0
Andaman and Nicobar Island,AN,North & Middle Andaman,5,5. Children under age 5 years whose birth was registered with the civil authority (%),100.0,99.6,0.4
Andaman and Nicobar Island,AN,North & Middle Andaman,6,6. Deaths in the last 3 years registered with the civil authority (%),92.6,,
Andaman and Nicobar Island,AN,North & Middle Andaman,7,7. Population living in households with electricity (%),93.2,92.7,0.5
