state,state_code,district,indicator_no,indicator,nfhs5_value,nfhs4_value,change_nfhs4_to_nfhs5
Telangana,TG,Warangal Rural,17,17. Births in the 5 years preceding the survey that are third or higher order (%),1.8,,
Telangana,TG,Warangal Rural,18,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.9,,
Telangana,TG,Warangal Rural,19,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),93.5,,
Telangana,TG,Warangal Rural,20,20. Any method6 (%),60.0,,
Telangana,TG,Warangal Rural,21,21. Any modern method6 (%),57.5,,
Telangana,TG,Warangal Rural,22,22. Female sterilization (%),47.0,,
Telangana,TG,Warangal Rural,23,23. Male sterilization (%),8.7,,
Telangana,TG,Warangal Rural,24,24. IUD/PPIUD (%),0.0,,
Telangana,TG,Warangal Rural,25,25. Pill (%),0.8,,
Telangana,TG,Warangal Rural,26,26. Condom (%),0.3,,
Telangana,TG,Warangal Rural,27,27. Injectables (%),0.3,,
Telangana,TG,Warangal Rural,28,28. Total unmet need7 (%),9.4,,
Telangana,TG,Warangal Rural,29,29. Unmet need for spacing7 (%),2.4,,
Telangana,TG,Warangal Rural,30,30. Health worker ever talked to female non-users about family planning (%),16.3,,
Telangana,TG,Warangal Rural,31,31. Current users ever told about side effects of current method8 (%),53.5,,
Telangana,TG,Warangal Rural,32,32. Mothers who had an antenatal check-up in the first trimester (%),86.8,,
Telangana,TG,Warangal Rural,33,33. Mothers who had at least 4 antenatal care visits (%),70.4,,
Telangana,TG,Warangal Rural,34,34. Mothers whose last birth was protected against neonatal tetanus9 (%),82.3,,
Telangana,TG,Warangal Rural,35,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.9,,
Telangana,TG,Warangal Rural,36,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.2,,
Telangana,TG,Warangal Rural,37,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7,,
Telangana,TG,Warangal Rural,38,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.8,,
Telangana,TG,Warangal Rural,39,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),3713.0,,
Telangana,TG,Warangal Rural,40,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,,
Telangana,TG,Warangal Rural,41,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.5,,
Telangana,TG,Warangal Rural,42,42. Institutional births (%),100.0,,
Telangana,TG,Warangal Rural,43,43. Institutional births in public facility (%),63.1,,
Telangana,TG,Warangal Rural,44,44. Home births that were conducted by skilled health personnel10 (%),0.0,,
Telangana,TG,Warangal Rural,45,45. Births attended by skilled health personnel10 (%),94.5,,
Telangana,TG,Warangal Rural,46,46. Births delivered by caesarean section (%),71.8,,
Telangana,TG,Warangal Rural,47,47. Births in a private health facility that were delivered by caesarean section (%),84.1,,
Telangana,TG,Warangal Rural,48,48. Births in a public health facility that were delivered by caesarean section (%),64.6,,
Telangana,TG,Warangal Rural,49,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),79.0,,
Telangana,TG,Warangal Rural,50,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),83.6,,
Telangana,TG,Warangal Rural,51,51. Children age 12-23 months who have received BCG (%),93.0,,
Telangana,TG,Warangal Rural,52,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),79.0,,
Telangana,TG,Warangal Rural,53,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.0,,
Telangana,TG,Warangal Rural,54,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.0,,
Telangana,TG,Warangal Rural,55,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),39.3,,
Telangana,TG,Warangal Rural,56,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),0.0,,
Telangana,TG,Warangal Rural,57,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),93.0,,
Telangana,TG,Warangal Rural,58,58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),83.7,,
Telangana,TG,Warangal Rural,59,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,,
Telangana,TG,Warangal Rural,60,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,,
Telangana,TG,Warangal Rural,61,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),14.4,,
Telangana,TG,Warangal Rural,62,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),25.8,,
Telangana,TG,Warangal Rural,63,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),41.7,,
Telangana,TG,Warangal Rural,64,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),57.4,,
Telangana,TG,Warangal Rural,65,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.6,,
Telangana,TG,Warangal Rural,66,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),69.8,,
Telangana,TG,Warangal Rural,67,67. Children under age 3 years breastfed within one hour of birth15 (%),33.8,,
Telangana,TG,Warangal Rural,68,68. Children under age 6 months exclusively breastfed16 (%),,,
Telangana,TG,Warangal Rural,69,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,,
Telangana,TG,Warangal Rural,70,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",5.6,,
Telangana,TG,Warangal Rural,71,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,,
Telangana,TG,Warangal Rural,72,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",5.1,,
Telangana,TG,Warangal Rural,73,73. Children under 5 years who are stunted (height-for-age)18 (%),36.1,,
Telangana,TG,Warangal Rural,74,74. Children under 5 years who are wasted (weight-for-height)18 (%),19.0,,
Telangana,TG,Warangal Rural,75,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),8.9,,
Telangana,TG,Warangal Rural,76,76. Children under 5 years who are underweight (weight-for-age)18 (%),37.9,,
Telangana,TG,Warangal Rural,77,77. Children under 5 years who are overweight (weight-for-height)20 (%),2.4,,
Telangana,TG,Warangal Rural,78,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),22.6,,
Telangana,TG,Warangal Rural,79,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),26.4,,
Telangana,TG,Warangal Rural,80,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),45.6,,
Telangana,TG,Warangal Rural,81,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),71.5,,
Telangana,TG,Warangal Rural,82,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),59.2,,
Telangana,TG,Warangal Rural,83,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),61.5,,
Telangana,TG,Warangal Rural,84,84. All women age 15-49 years who are anaemic22 (%),59.3,,
Telangana,TG,Warangal Rural,85,85. All women age 15-19 years who are anaemic22 (%),64.3,,
Telangana,TG,Warangal Rural,86,86. Blood sugar level - high (141-160 mg/dl)23 (%),6.6,,
Telangana,TG,Warangal Rural,87,87. Blood sugar level - very high (>160 mg/dl)23 (%),7.6,,
Telangana,TG,Warangal Rural,88,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),15.6,,
Telangana,TG,Warangal Rural,89,89. Blood sugar level - high (141-160 mg/dl)23 (%),6.5,,
Telangana,TG,Warangal Rural,90,90. Blood sugar level - very high (>160 mg/dl)23 (%),10.0,,
Telangana,TG,Warangal Rural,91,91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),18.1,,
Telangana,TG,Warangal Rural,92,92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.4,,
Telangana,TG,Warangal Rural,93,93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.2,,
Telangana,TG,Warangal Rural,94,94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.3,,
Telangana,TG,Warangal Rural,95,95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.4,,
Telangana,TG,Warangal Rural,96,96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.5,,
Telangana,TG,Warangal Rural,97,97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.4,,
Telangana,TG,Warangal Rural,98,98. Ever undergone a screening test for cervical cancer (%),5.5,,
Telangana,TG,Warangal Rural,99,99. Ever undergone a breast examination for breast cancer (%),1.1,,
Telangana,TG,Warangal Rural,100,100. Ever undergone an oral cavity examination for oral cancer (%),3.8,,
Telangana,TG,Warangal Rural,101,101. Women age 15 years and above who use any kind of tobacco (%),2.8,,
Telangana,TG,Warangal Rural,102,102. Men age 15 years and above who use any kind of tobacco (%),23.2,,
Telangana,TG,Warangal Rural,103,103. Women age 15 years and above who consume alcohol (%),6.5,,
Telangana,TG,Warangal Rural,104,104. Men age 15 years and above who consume alcohol (%),54.4,,
Telangana,TG,Warangal Urban,1,1. Female population age 6 years and above who ever attended school (%),70.3,,
Telangana,TG,Warangal Urban,2,2. Population below age 15 years (%),20.2,,
Telangana,TG,Warangal Urban,3,"3. Sex ratio of the total population (females per 1,000 males)",1087.0,,
Telangana,TG,Warangal Urban,4,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",829.0,,
Telangana,TG,Warangal Urban,5,5. Children under age 5 years whose birth was registered with the civil authority (%),82.4,,
Telangana,TG,Warangal Urban,6,6. Deaths in the last 3 years registered with the civil authority (%),77.7,,
Telangana,TG,Warangal Urban,7,7. Population living in households with electricity (%),99.6,,
Telangana,TG,Warangal Urban,8,8. Population living in households with an improved drinking-water source1 (%),99.1,,
Telangana,TG,Warangal Urban,9,9. Population living in households that use an improved sanitation facility2 (%),81.2,,
Telangana,TG,Warangal Urban,10,10. Households using clean fuel for cooking3 (%),94.6,,
Telangana,TG,Warangal Urban,11,11. Households using iodized salt (%),96.6,,
Telangana,TG,Warangal Urban,12,12. Households with any usual member covered under a health insurance/financing scheme (%),62.0,,
Telangana,TG,Warangal Urban,13,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),11.6,,
Telangana,TG,Warangal Urban,14,14. Women who are literate4 (%),76.9,,
Telangana,TG,Warangal Urban,15,15. Women with 10 or more years of schooling (%),57.2,,
Telangana,TG,Warangal Urban,16,16. Women age 20-24 years married before age 18 years (%),22.7,,
Telangana,TG,Warangal Urban,17,17. Births in the 5 years preceding the survey that are third or higher order (%),1.3,,
Telangana,TG,Warangal Urban,18,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.3,,
Telangana,TG,Warangal Urban,19,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),96.4,,
Telangana,TG,Warangal Urban,20,20. Any method6 (%),67.7,,
Telangana,TG,Warangal Urban,21,21. Any modern method6 (%),64.4,,
Telangana,TG,Warangal Urban,22,22. Female sterilization (%),50.1,,
Telangana,TG,Warangal Urban,23,23. Male sterilization (%),11.2,,
Telangana,TG,Warangal Urban,24,24. IUD/PPIUD (%),0.4,,
Telangana,TG,Warangal Urban,25,25. Pill (%),0.7,,
Telangana,TG,Warangal Urban,26,26. Condom (%),1.2,,
Telangana,TG,Warangal Urban,27,27. Injectables (%),0.0,,
Telangana,TG,Warangal Urban,28,28. Total unmet need7 (%),8.9,,
Telangana,TG,Warangal Urban,29,29. Unmet need for spacing7 (%),3.2,,
Telangana,TG,Warangal Urban,30,30. Health worker ever talked to female non-users about family planning (%),27.8,,
Telangana,TG,Warangal Urban,31,31. Current users ever told about side effects of current method8 (%),49.4,,
Telangana,TG,Warangal Urban,32,32. Mothers who had an antenatal check-up in the first trimester (%),88.4,,
Telangana,TG,Warangal Urban,33,33. Mothers who had at least 4 antenatal care visits (%),71.3,,
Telangana,TG,Warangal Urban,34,34. Mothers whose last birth was protected against neonatal tetanus9 (%),96.2,,
Telangana,TG,Warangal Urban,35,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),63.7,,
Telangana,TG,Warangal Urban,36,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.9,,
Telangana,TG,Warangal Urban,37,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.4,,
Telangana,TG,Warangal Urban,38,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.6,,
Telangana,TG,Warangal Urban,39,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),2825.0,,
Telangana,TG,Warangal Urban,40,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,,
Telangana,TG,Warangal Urban,41,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.3,,
Telangana,TG,Warangal Urban,42,42. Institutional births (%),99.7,,
Telangana,TG,Warangal Urban,43,43. Institutional births in public facility (%),41.9,,
Telangana,TG,Warangal Urban,44,44. Home births that were conducted by skilled health personnel10 (%),0.0,,
Telangana,TG,Warangal Urban,45,45. Births attended by skilled health personnel10 (%),93.0,,
Telangana,TG,Warangal Urban,46,46. Births delivered by caesarean section (%),69.3,,
Telangana,TG,Warangal Urban,47,47. Births in a private health facility that were delivered by caesarean section (%),87.9,,
Telangana,TG,Warangal Urban,48,48. Births in a public health facility that were delivered by caesarean section (%),44.2,,
Telangana,TG,Warangal Urban,49,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),70.1,,
Telangana,TG,Warangal Urban,50,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),86.8,,
Telangana,TG,Warangal Urban,51,51. Children age 12-23 months who have received BCG (%),89.2,,
Telangana,TG,Warangal Urban,52,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),72.7,,
Telangana,TG,Warangal Urban,53,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.3,,
Telangana,TG,Warangal Urban,54,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),91.8,,
Telangana,TG,Warangal Urban,55,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),54.9,,
Telangana,TG,Warangal Urban,56,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),1.6,,
Telangana,TG,Warangal Urban,57,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.0,,
Telangana,TG,Warangal Urban,58,58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),78.5,,
Telangana,TG,Warangal Urban,59,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),91.4,,
Telangana,TG,Warangal Urban,60,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),8.6,,
Telangana,TG,Warangal Urban,61,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.7,,
Telangana,TG,Warangal Urban,62,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,
Telangana,TG,Warangal Urban,63,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,
Telangana,TG,Warangal Urban,64,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,
Telangana,TG,Warangal Urban,65,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.3,,
Telangana,TG,Warangal Urban,66,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),81.5,,
Telangana,TG,Warangal Urban,67,67. Children under age 3 years breastfed within one hour of birth15 (%),29.8,,
Telangana,TG,Warangal Urban,68,68. Children under age 6 months exclusively breastfed16 (%),,,
Telangana,TG,Warangal Urban,69,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,,
Telangana,TG,Warangal Urban,70,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",5.5,,
Telangana,TG,Warangal Urban,71,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,,
Telangana,TG,Warangal Urban,72,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",9.3,,
Telangana,TG,Warangal Urban,73,73. Children under 5 years who are stunted (height-for-age)18 (%),29.5,,
Telangana,TG,Warangal Urban,74,74. Children under 5 years who are wasted (weight-for-height)18 (%),29.5,,
Telangana,TG,Warangal Urban,75,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),12.6,,
Telangana,TG,Warangal Urban,76,76. Children under 5 years who are underweight (weight-for-age)18 (%),36.0,,
Telangana,TG,Warangal Urban,77,77. Children under 5 years who are overweight (weight-for-height)20 (%),4.4,,
Telangana,TG,Warangal Urban,78,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),16.8,,
Telangana,TG,Warangal Urban,79,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),32.0,,
Telangana,TG,Warangal Urban,80,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),50.7,,
Telangana,TG,Warangal Urban,81,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),67.0,,
Telangana,TG,Warangal Urban,82,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),57.8,,
Telangana,TG,Warangal Urban,83,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),,,
Telangana,TG,Warangal Urban,84,84. All women age 15-49 years who are anaemic22 (%),57.9,,
Telangana,TG,Warangal Urban,85,85. All women age 15-19 years who are anaemic22 (%),54.9,,
Telangana,TG,Warangal Urban,86,86. Blood sugar level - high (141-160 mg/dl)23 (%),7.7,,
Telangana,TG,Warangal Urban,87,87. Blood sugar level - very high (>160 mg/dl)23 (%),7.3,,
Telangana,TG,Warangal Urban,88,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),17.1,,
Telangana,TG,Warangal Urban,89,89. Blood sugar level - high (141-160 mg/dl)23 (%),7.9,,
Telangana,TG,Warangal Urban,90,90. Blood sugar level - very high (>160 mg/dl)23 (%),8.9,,
Telangana,TG,Warangal Urban,91,91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),19.0,,
Telangana,TG,Warangal Urban,92,92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.8,,
Telangana,TG,Warangal Urban,93,93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.6,,
Telangana,TG,Warangal Urban,94,94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.5,,
Telangana,TG,Warangal Urban,95,95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.6,,
Telangana,TG,Warangal Urban,96,96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.5,,
Telangana,TG,Warangal Urban,97,97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),32.7,,
Telangana,TG,Warangal Urban,98,98. Ever undergone a screening test for cervical cancer (%),1.4,,
Telangana,TG,Warangal Urban,99,99. Ever undergone a breast examination for breast cancer (%),0.0,,
Telangana,TG,Warangal Urban,100,100. Ever undergone an oral cavity examination for oral cancer (%),0.4,,
Telangana,TG,Warangal Urban,101,101. Women age 15 years and above who use any kind of tobacco (%),1.5,,
Telangana,TG,Warangal Urban,102,102. Men age 15 years and above who use any kind of tobacco (%),14.0,,
Telangana,TG,Warangal Urban,103,103. Women age 15 years and above who consume alcohol (%),2.9,,
Telangana,TG,Warangal Urban,104,104. Men age 15 years and above who consume alcohol (%),43.3,,
Telangana,TG,Yadadri Bhuvanagiri,1,1. Female population age 6 years and above who ever attended school (%),59.1,,
Telangana,TG,Yadadri Bhuvanagiri,2,2. Population below age 15 years (%),23.0,,
Telangana,TG,Yadadri Bhuvanagiri,3,"3. Sex ratio of the total population (females per 1,000 males)",1071.0,,
Telangana,TG,Yadadri Bhuvanagiri,4,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",954.0,,
Telangana,TG,Yadadri Bhuvanagiri,5,5. Children under age 5 years whose birth was registered with the civil authority (%),93.8,,
Telangana,TG,Yadadri Bhuvanagiri,6,6. Deaths in the last 3 years registered with the civil authority (%),71.1,,
Telangana,TG,Yadadri Bhuvanagiri,7,7. Population living in households with electricity (%),99.6,,
Telangana,TG,Yadadri Bhuvanagiri,8,8. Population living in households with an improved drinking-water source1 (%),99.7,,
Telangana,TG,Yadadri Bhuvanagiri,9,9. Population living in households that use an improved sanitation facility2 (%),81.9,,
Telangana,TG,Yadadri Bhuvanagiri,10,10. Households using clean fuel for cooking3 (%),94.9,,
Telangana,TG,Yadadri Bhuvanagiri,11,11. Households using iodized salt (%),98.7,,
Telangana,TG,Yadadri Bhuvanagiri,12,12. Households with any usual member covered under a health insurance/financing scheme (%),65.3,,
Telangana,TG,Yadadri Bhuvanagiri,13,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),27.2,,
Telangana,TG,Yadadri Bhuvanagiri,14,14. Women who are literate4 (%),68.4,,
Telangana,TG,Yadadri Bhuvanagiri,15,15. Women with 10 or more years of schooling (%),48.0,,
Telangana,TG,Yadadri Bhuvanagiri,16,16. Women age 20-24 years married before age 18 years (%),21.6,,
Telangana,TG,Yadadri Bhuvanagiri,17,17. Births in the 5 years preceding the survey that are third or higher order (%),3.0,,
Telangana,TG,Yadadri Bhuvanagiri,18,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.7,,
Telangana,TG,Yadadri Bhuvanagiri,19,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),94.8,,
Telangana,TG,Yadadri Bhuvanagiri,20,20. Any method6 (%),76.2,,
Telangana,TG,Yadadri Bhuvanagiri,21,21. Any modern method6 (%),75.0,,
Telangana,TG,Yadadri Bhuvanagiri,22,22. Female sterilization (%),72.3,,
Telangana,TG,Yadadri Bhuvanagiri,23,23. Male sterilization (%),0.2,,
Telangana,TG,Yadadri Bhuvanagiri,24,24. IUD/PPIUD (%),0.3,,
Telangana,TG,Yadadri Bhuvanagiri,25,25. Pill (%),0.0,,
Telangana,TG,Yadadri Bhuvanagiri,26,26. Condom (%),0.7,,
Telangana,TG,Yadadri Bhuvanagiri,27,27. Injectables (%),0.2,,
Telangana,TG,Yadadri Bhuvanagiri,28,28. Total unmet need7 (%),5.0,,
Telangana,TG,Yadadri Bhuvanagiri,29,29. Unmet need for spacing7 (%),2.0,,
Telangana,TG,Yadadri Bhuvanagiri,30,30. Health worker ever talked to female non-users about family planning (%),20.6,,
Telangana,TG,Yadadri Bhuvanagiri,31,31. Current users ever told about side effects of current method8 (%),58.5,,
Telangana,TG,Yadadri Bhuvanagiri,32,32. Mothers who had an antenatal check-up in the first trimester (%),92.1,,
Telangana,TG,Yadadri Bhuvanagiri,33,33. Mothers who had at least 4 antenatal care visits (%),67.2,,
Telangana,TG,Yadadri Bhuvanagiri,34,34. Mothers whose last birth was protected against neonatal tetanus9 (%),91.5,,
Telangana,TG,Yadadri Bhuvanagiri,35,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.5,,
Telangana,TG,Yadadri Bhuvanagiri,36,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.7,,
Telangana,TG,Yadadri Bhuvanagiri,37,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9,,
Telangana,TG,Yadadri Bhuvanagiri,38,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.2,,
Telangana,TG,Yadadri Bhuvanagiri,39,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),3082.0,,
Telangana,TG,Yadadri Bhuvanagiri,40,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,,
Telangana,TG,Yadadri Bhuvanagiri,41,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),94.9,,
Telangana,TG,Yadadri Bhuvanagiri,42,42. Institutional births (%),97.7,,
Telangana,TG,Yadadri Bhuvanagiri,43,43. Institutional births in public facility (%),54.9,,
Telangana,TG,Yadadri Bhuvanagiri,44,44. Home births that were conducted by skilled health personnel10 (%),1.2,,
Telangana,TG,Yadadri Bhuvanagiri,45,45. Births attended by skilled health personnel10 (%),94.1,,
Telangana,TG,Yadadri Bhuvanagiri,46,46. Births delivered by caesarean section (%),68.2,,
Telangana,TG,Yadadri Bhuvanagiri,47,47. Births in a private health facility that were delivered by caesarean section (%),80.8,,
Telangana,TG,Yadadri Bhuvanagiri,48,48. Births in a public health facility that were delivered by caesarean section (%),61.3,,
Telangana,TG,Yadadri Bhuvanagiri,49,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),76.7,,
Telangana,TG,Yadadri Bhuvanagiri,50,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),84.3,,
Telangana,TG,Yadadri Bhuvanagiri,51,51. Children age 12-23 months who have received BCG (%),95.2,,
Telangana,TG,Yadadri Bhuvanagiri,52,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),80.2,,
Telangana,TG,Yadadri Bhuvanagiri,53,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.2,,
Telangana,TG,Yadadri Bhuvanagiri,54,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.0,,
Telangana,TG,Yadadri Bhuvanagiri,55,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),37.9,,
Telangana,TG,Yadadri Bhuvanagiri,56,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),5.1,,
Telangana,TG,Yadadri Bhuvanagiri,57,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.0,,
Telangana,TG,Yadadri Bhuvanagiri,58,58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.6,,
Telangana,TG,Yadadri Bhuvanagiri,59,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.0,,
Telangana,TG,Yadadri Bhuvanagiri,60,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.0,,
Telangana,TG,Yadadri Bhuvanagiri,61,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.0,,
Telangana,TG,Yadadri Bhuvanagiri,62,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,
Telangana,TG,Yadadri Bhuvanagiri,63,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,
Telangana,TG,Yadadri Bhuvanagiri,64,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,
Telangana,TG,Yadadri Bhuvanagiri,65,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.1,,
Telangana,TG,Yadadri Bhuvanagiri,66,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),67.3,,
Telangana,TG,Yadadri Bhuvanagiri,67,67. Children under age 3 years breastfed within one hour of birth15 (%),43.7,,
